assignmentName,className,type,time
William Cole,ENGEE682,Quiz,2024-01-07 08:00:00
Jane Anderson,ENGEE682,Assignment,2024-01-21 09:00:00
Margaret Chapman,ENGEE682,Assignment,2024-01-25 17:00:00
Todd Munoz,LINGS517,Assignment,2024-03-20 08:00:00
Ashley Mcgee,LINGS517,Test,2024-05-24 05:00:00
Ruth Graves,LINGS517,Quiz,2024-02-14 05:00:00
Mr. Brandon Morgan DDS,THMGT537,Quiz,2024-05-13 04:00:00
Amy Clark,THMGT537,Quiz,2024-02-06 15:00:00
William Brown,THMGT537,Assignment,2024-05-19 00:00:00
James Davis,HSHUP271,Test,2024-01-04 15:00:00
Kristy Nelson,HSHUP271,Assignment,2024-05-19 08:00:00
Jorge Harvey,SCIEN282,Test,2024-03-26 04:00:00
Laura Brown,SCIEN282,Assignment,2024-04-09 05:00:00
Carla David,SCIEN282,Test,2024-04-02 12:00:00
Alicia Gonzalez MD,NURSE537,Assignment,2024-04-28 18:00:00
Laurie Herrera,NURSE537,Quiz,2024-01-02 22:00:00
Heather Baker,POLSC903,Assignment,2024-02-14 14:00:00
Mark Lewis,POLSC903,Quiz,2024-02-04 04:00:00
Cheryl Anderson,POLSC903,Test,2024-01-21 00:00:00
Linda Gray DDS,ENGEE397,Test,2024-01-20 12:00:00
Anthony Glenn,ENGEE397,Quiz,2024-01-12 21:00:00
Anthony Ford,LEADR208,Assignment,2024-02-14 12:00:00
Terry Fuller,LEADR208,Test,2024-01-12 13:00:00
Mr. Michael Welch,SCMGT614,Quiz,2024-05-20 14:00:00
Jeffrey Martin,SCMGT614,Test,2024-01-20 21:00:00
Kyle Howard,DSIGN690,Assignment,2024-03-16 08:00:00
Barry Kelly,DSIGN690,Test,2024-03-07 02:00:00
Mary King,EDART397,Assignment,2024-03-01 18:00:00
Jennifer Lewis,DATAA397,Quiz,2024-05-21 07:00:00
Benjamin Hayes,ENVED611,Assignment,2024-02-09 02:00:00
Mia Perez,ENVED611,Assignment,2024-02-20 00:00:00
Francisco Brown,ENVED611,Quiz,2024-04-15 05:00:00
Cynthia Harris,MNMGT812,Assignment,2024-01-25 10:00:00
Thomas Whitehead,MNMGT812,Quiz,2024-01-09 23:00:00
Benjamin Lopez,SOCPY397,Test,2024-02-04 10:00:00
Michael Turner,HMDEV752,Quiz,2024-04-02 08:00:00
Nicholas Roberts,ENSLA254,Test,2024-05-03 15:00:00
Lynn Combs,HISTY262,Test,2024-02-28 06:00:00
Linda Martinez,HISTY262,Assignment,2024-04-05 12:00:00
Jessica Flores,HISTY262,Assignment,2024-01-29 23:00:00
Steven Chan,THSTS707,Quiz,2024-04-04 04:00:00
Keith Morse,THSTS707,Quiz,2024-03-26 01:00:00
Brandon Hammond,THSTS707,Test,2024-04-02 10:00:00
Jenna Odonnell,MRKTG271,Assignment,2024-03-08 01:00:00
Karen Shelton,MRKTG271,Test,2024-04-29 21:00:00
Stephanie Johnson,MRKTG271,Test,2024-03-22 15:00:00
Alexis White,COMPX925,Quiz,2024-02-08 19:00:00
Sarah Keith,COMPX925,Assignment,2024-02-28 03:00:00
Clifford Gibson,HRMGT517,Quiz,2024-01-14 02:00:00
Kevin Gross,SOCIO820,Quiz,2024-01-18 05:00:00
Jody Crawford,MARIN537,Assignment,2024-05-12 22:00:00
Shannon Aguilar,MARIN537,Test,2024-04-12 09:00:00
Joseph Browning,MARIN537,Test,2024-02-15 22:00:00
John Holmes,HMDEV517,Test,2024-05-22 23:00:00
Joseph Phillips,HMDEV517,Test,2024-04-08 16:00:00
Joshua Moreno,HMDEV517,Test,2024-02-08 03:00:00
Derek Zhang,DINST537,Quiz,2024-02-08 22:00:00
Teresa Raymond,HTHPR806,Quiz,2024-03-01 22:00:00
Michelle Gutierrez,CHINE189,Test,2024-01-11 14:00:00
Melinda Lyons,SOCWK867,Test,2024-05-14 14:00:00
Erik Schwartz,SOCWK867,Quiz,2024-02-05 08:00:00
Tyler Baker,EXCOR179,Assignment,2024-01-17 17:00:00
Kristen Reeves,EXCOR179,Test,2024-03-16 06:00:00
Molly Thomas,LABST707,Quiz,2024-05-04 21:00:00
Sierra Wilson,DLRNG198,Quiz,2024-04-14 08:00:00
Carol Miller,DLRNG198,Test,2024-01-01 21:00:00
Brandon Potter,SDCOA378,Assignment,2024-04-16 12:00:00
Richard White,COMPX611,Quiz,2024-04-08 14:00:00
Angela Peck,COMPX611,Test,2024-05-03 16:00:00
Christine Reilly,HISTY820,Assignment,2024-05-04 20:00:00
Erica Miller,HISTY820,Assignment,2024-01-31 20:00:00
Tyler Jones,CHEMY966,Test,2024-03-24 04:00:00
Louis Turner,CHEMY966,Test,2024-04-01 01:00:00
Deanna Mclaughlin,CHEMY966,Test,2024-01-08 15:00:00
Linda Lyons,FINAN820,Assignment,2024-01-25 09:00:00
Nicole Hall,FINAN820,Quiz,2024-01-05 13:00:00
Stephen Henry,FINAN820,Assignment,2024-05-17 09:00:00
Renee Gentry,SOCWK466,Test,2024-04-22 04:00:00
Ruben Cook,SOCWK466,Assignment,2024-01-16 16:00:00
Melissa Salas,SOCWK466,Quiz,2024-02-18 10:00:00
Ashley Parker,MAORI812,Quiz,2024-02-26 01:00:00
Richard Campbell,MAORI812,Test,2024-04-30 02:00:00
Brian Jordan,TECED682,Test,2024-04-28 00:00:00
Anita Arellano PhD,TECED682,Quiz,2024-02-04 09:00:00
Elizabeth Lawrence,THEDR812,Assignment,2024-04-14 12:00:00
Madison Robles,THEDR812,Quiz,2024-03-21 18:00:00
Alan Daniel,THEDR812,Test,2024-04-06 23:00:00
Courtney Craig DDS,SPNSH397,Test,2024-03-01 02:00:00
Steven Horton,SPNSH397,Assignment,2024-01-02 04:00:00
David Davis,SPNSH397,Quiz,2024-01-21 04:00:00
Paula Cook,COUNS397,Test,2024-01-14 06:00:00
Jo Mitchell,COUNS397,Test,2024-04-06 23:00:00
Kenneth Wallace,PACIS282,Test,2024-05-13 01:00:00
Krystal Wilson,PACIS282,Quiz,2024-04-01 01:00:00
Jeremy Hawkins,THSTS611,Assignment,2024-02-03 19:00:00
Jennifer Moody,THSTS611,Assignment,2024-03-07 12:00:00
Natalie Dodson,MEDIA752,Test,2024-02-01 15:00:00
Eric Velazquez,SOCPY903,Test,2024-05-06 22:00:00
Michelle Mitchell,HDEVP966,Assignment,2024-05-15 01:00:00
Christopher Miller,HDEVP966,Test,2024-01-09 04:00:00
Caitlin Burton,HDEVP966,Quiz,2024-02-25 18:00:00
David Hudson,IRSST243,Quiz,2024-05-06 20:00:00
Nicholas Mitchell,IRSST243,Quiz,2024-05-11 10:00:00
Dr. Travis Wolf,HRMGT243,Test,2024-02-24 19:00:00
Matthew Burke,HRMGT243,Quiz,2024-03-12 15:00:00
Patricia Smith,LABST189,Test,2024-04-11 18:00:00
Kevin Hayden,LABST189,Assignment,2024-01-23 00:00:00
Craig Barnes,ANTHY208,Assignment,2024-03-14 13:00:00
Danielle Cox,ANTHY208,Test,2024-01-26 21:00:00
Brenda Porter,MGSYS951,Test,2024-05-01 16:00:00
Wendy Morgan,MGSYS951,Test,2024-02-23 03:00:00
Johnny Villanueva,HUMRI198,Quiz,2024-05-17 10:00:00
Ashley Klein,ENGCB812,Test,2024-02-14 10:00:00
Jennifer Robertson,ENGCB812,Quiz,2024-05-18 00:00:00
Brittany Lewis,MUSIC282,Assignment,2024-04-22 07:00:00
Tamara Barber,MUSIC282,Assignment,2024-04-29 05:00:00
Katherine Becker,PHILO966,Quiz,2024-04-03 22:00:00
Grant Gonzales,PHILO966,Assignment,2024-04-14 23:00:00
Tracey Bradshaw,PHILO966,Test,2024-04-06 21:00:00
Shawn Rodgers,FOUND806,Quiz,2024-05-27 12:00:00
James Wilson,MTHED179,Quiz,2024-04-23 23:00:00
Colin Boyd,MTHED179,Test,2024-02-26 18:00:00
Brian Robinson,FINAN951,Test,2024-03-29 05:00:00
Veronica Mosley,FINAN951,Test,2024-03-30 15:00:00
Antonio Cook,ARTSC254,Test,2024-03-11 08:00:00
Stephen White,AQCUL282,Quiz,2024-01-06 02:00:00
Benjamin Nelson,AQCUL282,Test,2024-02-28 18:00:00
Ronald Peterson,AQCUL282,Test,2024-03-01 13:00:00
Nicole Stevens DDS,MAORI189,Quiz,2024-02-11 17:00:00
Erica Doyle,HPSCI867,Test,2024-01-11 00:00:00
Jay Marshall,EDUCA925,Test,2024-01-17 21:00:00
Jaime Murray,BIOMD378,Quiz,2024-02-23 07:00:00
Debra Miller,BIOMD378,Quiz,2024-03-28 04:00:00
Joseph Wright,EVSOC682,Quiz,2024-05-18 23:00:00
Jill Davis,EVSOC682,Test,2024-03-29 09:00:00
Sara Gomez,EVSOC682,Assignment,2024-02-19 12:00:00
Melanie Bond,BIOEB262,Quiz,2024-03-30 15:00:00
Keith Chandler,BIOEB262,Test,2024-03-01 10:00:00
Nicole May,CAENL966,Test,2024-05-08 18:00:00
Savannah Smith,CAENL966,Assignment,2024-04-16 17:00:00
Linda Collins,CAENL966,Quiz,2024-02-23 09:00:00
Karen Hall,LCOMM707,Test,2024-05-26 22:00:00
Laura Herrera,LCOMM707,Test,2024-03-13 20:00:00
Amy Ewing,PUBRL752,Quiz,2024-02-24 14:00:00
Emily Koch,PUBRL752,Test,2024-04-30 18:00:00
Bruce Matthews,HUMRI690,Assignment,2024-04-09 16:00:00
Monica Olson,MGSYS806,Quiz,2024-02-01 12:00:00
Donald Hammond,DLRNG243,Test,2024-03-29 09:00:00
Paula Hobbs,DLRNG243,Test,2024-03-21 15:00:00
Vicki Zamora,DLRNG243,Assignment,2024-01-03 19:00:00
Angela White,MRKTG537,Quiz,2024-02-10 00:00:00
Audrey Haynes,MRKTG537,Assignment,2024-04-16 06:00:00
Regina Webster,MRKTG537,Test,2024-04-27 15:00:00
Karen Kramer,COMPX254,Quiz,2024-05-17 21:00:00
Leah Murillo,COMPX254,Quiz,2024-03-02 10:00:00
Brandi Monroe,COMPX254,Assignment,2024-02-01 07:00:00
Melissa Hill,BIOEB682,Test,2024-01-04 03:00:00
Paul Schultz,THEDR208,Assignment,2024-05-04 16:00:00
Brandon Gill,THEDR208,Assignment,2024-01-23 15:00:00
Jose Snyder,THEDR208,Assignment,2024-04-30 16:00:00
Joseph Maxwell,HTHAL271,Quiz,2024-03-22 11:00:00
Peter Yu,HTHAL271,Assignment,2024-01-29 02:00:00
Jessica Todd,HLTSC198,Test,2024-04-03 05:00:00
Tara West,HLTSC198,Assignment,2024-03-16 16:00:00
Daniel Chaney,HLTSC198,Assignment,2024-03-12 08:00:00
Robert Morales,SCMGT397,Quiz,2024-02-06 11:00:00
James Wright,SCMGT397,Test,2024-05-14 02:00:00
Wendy Williams,POLSC680,Test,2024-02-01 21:00:00
Johnny Perez,POLSC680,Assignment,2024-03-17 04:00:00
Randy Santos,POLSC680,Test,2024-04-01 12:00:00
Mr. Phillip Simmons MD,ARTSC680,Quiz,2024-04-10 17:00:00
Brian Wilson,ARTSC680,Assignment,2024-02-01 19:00:00
Christopher Watts,ARTSC680,Test,2024-02-24 14:00:00
Heather Anderson,PHILO669,Quiz,2024-05-22 07:00:00
Benjamin Welch,PHILO669,Test,2024-03-29 02:00:00
Karen Perry,SDCOA282,Test,2024-03-26 11:00:00
Ashley Lawson,POLSC537,Quiz,2024-01-24 04:00:00
Billy Griffin,POLSC537,Test,2024-05-02 22:00:00
Micheal Johnson,POLSC537,Quiz,2024-04-09 20:00:00
Christopher Acosta,HLTSC820,Quiz,2024-03-24 09:00:00
Carolyn Henderson,HLTSC820,Assignment,2024-02-28 15:00:00
Billy Dennis,HISTY752,Quiz,2024-02-12 23:00:00
Brandi Kelley,HISTY752,Assignment,2024-02-14 13:00:00
Stephanie Hernandez,CHEMY271,Quiz,2024-02-21 20:00:00
Heather Murphy,HUMRI262,Quiz,2024-04-21 01:00:00
Mario Jacobs,SCIEN466,Test,2024-01-24 15:00:00
Lonnie Johnson,SCIEN466,Assignment,2024-02-20 09:00:00
Lisa Figueroa,FOUND820,Test,2024-03-15 18:00:00
Theodore Espinoza,EVSOC198,Quiz,2024-02-15 01:00:00
Shannon Morrison,GEOGY680,Quiz,2024-03-14 23:00:00
Gregory Johnson,GEOGY680,Assignment,2024-02-11 20:00:00
Jeff Richardson,MATHS752,Test,2024-04-09 22:00:00
Kelsey Townsend,EDLED378,Assignment,2024-01-05 15:00:00
Andrew Oliver,EDLED378,Test,2024-02-08 13:00:00
Jill Green,EDLED378,Test,2024-05-24 23:00:00
Katherine Jimenez MD,CAENL903,Assignment,2024-01-02 06:00:00
Taylor Torres,HDEVP752,Assignment,2024-05-21 02:00:00
Robert Cruz,HDEVP752,Test,2024-02-23 17:00:00
Stephen Perkins,ENGEE806,Assignment,2024-01-31 14:00:00
Angela Fitzpatrick,POLSC254,Test,2024-05-03 10:00:00
Kirsten Santos,ENGCV966,Test,2024-03-10 15:00:00
Lisa Robinson,ENGCV966,Test,2024-01-16 14:00:00
John Williamson,ENGCV966,Assignment,2024-03-27 19:00:00
Trevor Thomas,ACCTN208,Quiz,2024-03-08 05:00:00
Lindsay Jenkins,ACCTN208,Quiz,2024-03-24 14:00:00
Cameron Johnson,EARTH271,Quiz,2024-01-02 20:00:00
Kelly Moore,EARTH271,Assignment,2024-05-19 23:00:00
Laura Peterson,EDLED682,Assignment,2024-05-28 01:00:00
Amy Howell,EDLED682,Test,2024-01-02 06:00:00
Paul Parks,EDLED682,Quiz,2024-03-26 23:00:00
Steven Lewis,SCTED867,Assignment,2024-02-22 07:00:00
Linda Smith,SCTED867,Assignment,2024-02-20 06:00:00
Michelle Giles,SCTED867,Test,2024-04-10 07:00:00
Stacy Oconnor,HUMRI243,Assignment,2024-02-05 00:00:00
Stephanie White,HDEVP243,Quiz,2024-02-06 22:00:00
Stephen Reed,EDLED271,Quiz,2024-03-23 23:00:00
Seth Carson,EDLED271,Test,2024-02-08 15:00:00
Erica Zavala,EDLED271,Quiz,2024-01-01 16:00:00
Gina Burton,POLCY189,Quiz,2024-03-27 13:00:00
Stephanie Carroll,POLCY189,Quiz,2024-02-27 06:00:00
Charles Byrd,POLCY189,Quiz,2024-05-20 13:00:00
Madison Robinson,CLIMT867,Quiz,2024-02-07 22:00:00
Thomas Mccall,CLIMT867,Quiz,2024-02-29 00:00:00
Joshua Daugherty,CLIMT867,Test,2024-01-19 02:00:00
Joshua Collins,MTHED925,Test,2024-03-02 14:00:00
Michelle Rodgers,MTHED925,Quiz,2024-04-07 22:00:00
Lee Moore,COMPX282,Test,2024-04-12 02:00:00
Samuel Johnson,COUNS966,Test,2024-03-22 23:00:00
Melanie Jones,COUNS966,Assignment,2024-03-28 10:00:00
Daniel Tyler,EDART189,Assignment,2024-04-13 12:00:00
John Lee,INMGT262,Test,2024-05-02 17:00:00
Jared Roach,INMGT262,Test,2024-01-15 10:00:00
Aaron Grant,INMGT262,Assignment,2024-05-24 16:00:00
Mark Brock,MUSIC189,Quiz,2024-01-27 02:00:00
Nicholas Williams,MUSIC189,Test,2024-03-31 00:00:00
Jessica Thomas,MUSIC189,Test,2024-02-29 22:00:00
Emily Adams,ARTSC951,Quiz,2024-01-12 18:00:00
Jason Lee,AQCUL867,Assignment,2024-05-25 22:00:00
Alexander Tucker,AQCUL867,Quiz,2024-04-26 11:00:00
Joel Parker,AQCUL867,Quiz,2024-01-29 11:00:00
Christopher Morton,HTHPR262,Assignment,2024-03-28 18:00:00
Leslie Cox,KOREA951,Quiz,2024-01-02 03:00:00
Robert Calderon,KOREA951,Quiz,2024-04-22 19:00:00
John Kim MD,ENSLA179,Assignment,2024-01-18 03:00:00
Barbara Brown,ENSLA179,Test,2024-02-26 22:00:00
Megan Beard,ENSLA179,Quiz,2024-05-07 21:00:00
Andrea Lozano,DANCE397,Quiz,2024-04-07 04:00:00
Brian Anderson,DANCE397,Assignment,2024-03-23 14:00:00
Kelly Miller,AQCUL812,Assignment,2024-03-11 22:00:00
Betty Collins,AQCUL812,Test,2024-03-01 23:00:00
Trevor Burns,AQCUL812,Test,2024-05-07 21:00:00
Brian Ray,ACCTN397,Assignment,2024-04-01 01:00:00
Stanley Flowers,PHYSC951,Quiz,2024-04-18 14:00:00
Dennis Gray,LLTED397,Quiz,2024-04-17 04:00:00
Dennis Bray,LLTED397,Test,2024-03-29 10:00:00
Christopher Smith,LINGS820,Test,2024-02-24 05:00:00
Laura Kelley,LINGS820,Quiz,2024-02-19 22:00:00
Douglas Summers,GLOBE867,Assignment,2024-05-01 10:00:00
Chloe Graham,GLOBE867,Quiz,2024-04-16 23:00:00
Jessica Robinson,CAAEN806,Quiz,2024-01-06 13:00:00
Annette Boyd,CAAEN806,Assignment,2024-03-15 11:00:00
Keith Clark,CAAEN806,Test,2024-01-05 00:00:00
Jimmy Dunn,CMYHE966,Assignment,2024-02-18 08:00:00
Mary Krueger,CMYHE966,Test,2024-04-29 21:00:00
Kara Mason,ACCTN614,Assignment,2024-03-12 10:00:00
Danielle Oconnor,ACCTN614,Assignment,2024-01-23 13:00:00
Cheryl Villarreal,PUBRL690,Test,2024-01-16 14:00:00
Sophia Spencer,PUBRL690,Quiz,2024-02-04 09:00:00
Holly Solis,PUBRL690,Quiz,2024-05-03 04:00:00
Sierra Flynn,HPSCI466,Test,2024-05-06 14:00:00
Randall Burke,SOCWK262,Quiz,2024-04-11 11:00:00
Michelle Robinson DDS,SOCWK262,Test,2024-04-26 08:00:00
Ryan Williams,THEDR537,Test,2024-04-19 03:00:00
Samuel Hall,HTHPR614,Test,2024-01-19 00:00:00
William Jimenez,HTHPR614,Quiz,2024-05-16 23:00:00
Dan Harris,ENGEV189,Quiz,2024-05-21 14:00:00
Melissa Peterson,ENGEV189,Quiz,2024-02-06 21:00:00
Jesus Nguyen,ENGEV189,Test,2024-05-20 16:00:00
Jennifer Duffy,DLRNG669,Quiz,2024-01-18 10:00:00
Kyle Ford,CAAEN680,Assignment,2024-02-29 07:00:00
Lisa Gay,ACCTN537,Quiz,2024-03-12 22:00:00
Alexis Wong,ACCTN537,Assignment,2024-01-02 04:00:00
Michelle Escobar,HTHAL812,Quiz,2024-02-22 05:00:00
Tyler Boyer,HTHAL812,Assignment,2024-01-03 21:00:00
Joseph Benitez,HTHAL812,Assignment,2024-01-20 13:00:00
Jacob Gray,EARTH951,Test,2024-02-05 23:00:00
Holly Chen,EARTH951,Test,2024-05-03 20:00:00
Amber Garcia,MGSUS611,Quiz,2024-01-07 21:00:00
Erin Davis,LCOMM806,Test,2024-02-27 23:00:00
Valerie Salas,LCOMM806,Test,2024-05-25 11:00:00
Christie Hernandez,LCOMM806,Quiz,2024-02-17 21:00:00
Jason Duarte,EXMBA517,Assignment,2024-04-29 00:00:00
Jeremy Horne,EXMBA517,Test,2024-05-25 08:00:00
Emma Davis,DLRNG680,Assignment,2024-04-25 01:00:00
Deborah Powell,DLRNG680,Quiz,2024-01-28 07:00:00
Scott Gonzalez,LEGAL752,Quiz,2024-04-26 04:00:00
Jeffrey Roberts,EDLED611,Assignment,2024-01-27 21:00:00
Jason Williams,EDLED611,Assignment,2024-03-10 00:00:00
Alexis Reyes,ENVED690,Assignment,2024-04-29 01:00:00
Howard Miles,ENVED690,Assignment,2024-04-28 01:00:00
Brianna Brown,DSIGN680,Assignment,2024-01-10 20:00:00
Penny Vargas,DSIGN680,Test,2024-01-14 18:00:00
Michelle Cantrell,DSIGN680,Assignment,2024-04-28 00:00:00
Michael Savage,DSIGN951,Assignment,2024-02-25 18:00:00
Alyssa Rivera,SOCPY680,Test,2024-05-10 02:00:00
Jason Rowland,SOCPY680,Assignment,2024-03-08 16:00:00
Brenda Richardson,BIOMO262,Test,2024-02-23 22:00:00
Zachary Dean,JAPAN820,Quiz,2024-03-11 05:00:00
Mark Henry,JAPAN820,Assignment,2024-05-06 20:00:00
Michael Walton,THSTS262,Assignment,2024-02-24 22:00:00
Gary Grant,TEACH243,Assignment,2024-02-04 09:00:00
John Gibbs,TEACH243,Assignment,2024-05-28 20:00:00
Laura Johnson,TEACH243,Assignment,2024-01-09 22:00:00
Stacey Nichols,MAOED537,Assignment,2024-02-23 04:00:00
Matthew Combs,MAOED466,Assignment,2024-05-15 05:00:00
Brian Saunders,LEGAL189,Quiz,2024-03-11 05:00:00
Jeffrey Young,LEGAL189,Quiz,2024-04-19 00:00:00
Matthew Jones,LEGAL189,Assignment,2024-02-22 03:00:00
Erin Hayes,ENGEE903,Quiz,2024-05-20 08:00:00
Alyssa Tucker,ENGEE903,Quiz,2024-05-20 04:00:00
Melissa Christensen,ENGEE903,Quiz,2024-03-09 12:00:00
Christopher White,CMYHE925,Quiz,2024-01-03 23:00:00
Jamie Rivera,ENVED682,Assignment,2024-05-08 18:00:00
Jose Wilson,ENVED682,Assignment,2024-01-12 15:00:00
Susan Stanley,ENVED682,Test,2024-02-19 09:00:00
Valerie Alexander,POPST282,Test,2024-04-07 04:00:00
Anna Johnson,CAENL614,Assignment,2024-01-02 03:00:00
Christina Thompson,ARTSW378,Assignment,2024-02-16 09:00:00
Bethany Davis,ARTSW378,Assignment,2024-03-02 12:00:00
Briana Carpenter,HMDEV179,Test,2024-03-29 04:00:00
Tony Owens,HMDEV179,Assignment,2024-03-02 16:00:00
Drew Smith,HMDEV179,Test,2024-03-02 20:00:00
Nicholas Ross,EDART378,Test,2024-02-14 02:00:00
Donna Chambers,EDART378,Test,2024-02-20 08:00:00
Dana David,EDART378,Test,2024-04-13 21:00:00
Christopher Jacobs,TOEDR537,Assignment,2024-04-20 04:00:00
Sean Neal,TOEDR537,Assignment,2024-04-25 18:00:00
Steven Lucas,BIOEB966,Quiz,2024-03-27 20:00:00
Kevin Levine,BIOEB966,Test,2024-04-07 02:00:00
Leslie Thompson,BIOEB966,Test,2024-01-29 03:00:00
Michael Taylor,ENVED925,Quiz,2024-02-11 11:00:00
Gabriel Nolan,ENVED925,Test,2024-02-19 05:00:00
Rachel Thornton,ECONS669,Quiz,2024-05-26 08:00:00
Tyler Tate DDS,ECONS669,Test,2024-02-29 00:00:00
Daniel Lopez,MRKTG812,Quiz,2024-04-05 08:00:00
Christopher Maxwell,MRKTG812,Quiz,2024-05-05 07:00:00
Christopher Owens,MRKTG812,Quiz,2024-05-17 15:00:00
Michael Miller,NURSE466,Assignment,2024-04-14 19:00:00
Jamie Myers,NURSE466,Quiz,2024-03-30 12:00:00
John Gonzalez,BIOMO812,Test,2024-01-27 03:00:00
April Zimmerman,BIOMO812,Assignment,2024-01-15 01:00:00
Sharon Bailey,MTHED867,Quiz,2024-01-10 07:00:00
Jeff Douglas,ARTSC262,Quiz,2024-01-24 12:00:00
Caroline Shaw,ARTSC262,Quiz,2024-02-20 04:00:00
Michael Barr,ARTSC262,Assignment,2024-04-10 21:00:00
Ana Baker DDS,ARTSW282,Quiz,2024-04-16 04:00:00
Rebecca Fisher,ENGCV951,Assignment,2024-04-07 03:00:00
Dr. Johnathan Leon,ENGCV951,Assignment,2024-03-20 20:00:00
Eric Cooley,POLCY925,Assignment,2024-02-17 13:00:00
Jennifer Maxwell,POLCY925,Test,2024-02-15 14:00:00
Caleb Frederick,POLCY925,Quiz,2024-02-16 17:00:00
Meredith Brown,INDIP254,Quiz,2024-01-06 16:00:00
Sean Nelson,INDIP254,Test,2024-01-02 23:00:00
Amanda Morales,INDIP254,Test,2024-01-24 18:00:00
Shelby Brown,STATS397,Quiz,2024-05-23 06:00:00
David Schroeder,STATS397,Test,2024-04-20 15:00:00
Alexis Jenkins,LEGAL951,Quiz,2024-03-30 15:00:00
Stephanie Grant,BUSAN611,Assignment,2024-01-13 06:00:00
Adam Anthony,BUSAN611,Test,2024-03-31 06:00:00
Shane Cuevas,BUSAN611,Test,2024-02-02 17:00:00
Barbara Clark,INTLC669,Assignment,2024-03-30 22:00:00
Melissa Fisher,INTLC669,Assignment,2024-02-22 00:00:00
Brandon Rodriguez,INTLC669,Quiz,2024-05-12 05:00:00
Tony Buckley,CRSCI680,Quiz,2024-03-16 19:00:00
Mr. Christopher Kim,CRSCI680,Test,2024-02-18 18:00:00
Natasha Gibbs,DINST466,Test,2024-03-21 23:00:00
Lindsey Hernandez,ENGME669,Quiz,2024-05-24 21:00:00
Krista Robinson,ENGME669,Assignment,2024-02-01 20:00:00
John Roberts,ENGME669,Test,2024-03-14 06:00:00
Paige Ramirez,HMDEV966,Quiz,2024-05-16 04:00:00
Joseph Kaiser,HMDEV966,Assignment,2024-02-01 01:00:00
Kevin Adkins,HMDEV966,Test,2024-03-08 16:00:00
James Holmes,COMMS262,Assignment,2024-04-28 23:00:00
Kyle Hudson,COMMS262,Assignment,2024-04-01 16:00:00
Christopher Hayden,ENGEV254,Quiz,2024-04-20 08:00:00
Megan Garcia,ENGEV254,Assignment,2024-04-18 10:00:00
Alexandra Anderson,ENGEV254,Test,2024-01-11 01:00:00
Robert Knapp,ARTSC867,Test,2024-04-23 06:00:00
Thomas Obrien,ARTSC867,Test,2024-05-23 08:00:00
Amy Miller,ARTSC867,Quiz,2024-04-25 05:00:00
Jeffery Martinez MD,MGSYS707,Assignment,2024-03-23 05:00:00
Lori Malone,CHINE806,Test,2024-03-04 16:00:00
Crystal Washington,PACIS397,Assignment,2024-01-10 09:00:00
Stephanie Allen,AQCUL198,Quiz,2024-05-08 22:00:00
Elizabeth Campbell,PHILO820,Quiz,2024-03-02 16:00:00
Andrea Brooks,PHILO820,Test,2024-04-19 13:00:00
Katherine Brown,PHILO820,Test,2024-02-20 20:00:00
Candice Bowman,SCMGT282,Quiz,2024-05-23 02:00:00
Joan Jordan,SCMGT282,Quiz,2024-03-23 22:00:00
Edward Castillo,SCMGT282,Quiz,2024-05-22 06:00:00
Denise Craig,HTHPR752,Assignment,2024-02-24 21:00:00
Richard Morton,HTHPR752,Test,2024-05-28 03:00:00
Mary Clark,HTHPR752,Assignment,2024-03-01 06:00:00
Donna Prince,ANTHY867,Quiz,2024-02-25 20:00:00
Brooke Garcia,SCIED397,Quiz,2024-03-17 16:00:00
David Henry,SCIED397,Quiz,2024-05-05 13:00:00
Rebekah Hendricks,CAAEN812,Quiz,2024-01-23 19:00:00
Alyssa Jacobs,SOCIO179,Test,2024-05-16 07:00:00
Kristin Ray,SOCIO179,Test,2024-05-25 00:00:00
Daniel Miller,SOCIO179,Assignment,2024-04-07 04:00:00
Phillip Lamb,POLCY271,Assignment,2024-04-07 11:00:00
Justin Gillespie,ENGEV537,Test,2024-03-30 07:00:00
Joe Cameron,CLIMT669,Assignment,2024-04-25 10:00:00
Kevin Ellis,CLIMT669,Assignment,2024-01-19 00:00:00
Joshua Tanner,HMDEV820,Assignment,2024-01-04 05:00:00
Jonathon Avila,HMDEV820,Quiz,2024-04-06 11:00:00
Tyler Valdez,CHEMY198,Test,2024-03-15 12:00:00
Carrie Walker,CHEMY198,Quiz,2024-02-14 09:00:00
Courtney Pacheco,CHEMY198,Quiz,2024-03-04 01:00:00
Nicholas Alvarez,ENGCB517,Assignment,2024-02-14 16:00:00
Paul Oneal,FOUND614,Quiz,2024-03-02 19:00:00
Mrs. Cassandra Willis,FOUND614,Quiz,2024-02-01 04:00:00
Tammy Edwards,EVSOC271,Test,2024-02-04 05:00:00
Andrew Smith,EVSOC271,Quiz,2024-01-17 00:00:00
Jennifer Smith,ENGEV262,Assignment,2024-04-09 23:00:00
Jeremy Adkins,ENGEV262,Assignment,2024-02-04 21:00:00
Matthew Romero,ENGEV262,Assignment,2024-04-23 08:00:00
Anthony Williams,TECED820,Quiz,2024-04-22 18:00:00
Vincent Mills,EXCOR925,Test,2024-02-19 07:00:00
Theodore Torres,EXCOR925,Quiz,2024-05-11 09:00:00
Jeff Stevens,EXCOR925,Assignment,2024-05-08 07:00:00
Deborah Martinez,EARTH611,Assignment,2024-03-02 03:00:00
Jamie Murray,EARTH611,Quiz,2024-04-25 23:00:00
